City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,georgetown,5.4112,100.3354,80.53,90,20,0.0,MY,1689448139
121,ormara,25.2088,64.6357,82.29,77,100,14.25,PK,1689448140
122,lamu,-2.2717,40.902,73.62,83,8,16.17,KE,1689448140
123,hermanus,-34.4187,19.2345,62.8,71,100,14.5,ZA,1689448140
124,labytnangi,66.6572,66.4183,53.42,65,86,10.47,RU,1689448141
125,avarua,-21.2078,-159.775,73.45,100,75,3.44,CK,1689448141
126,tura,25.5198,90.2201,74.59,92,100,6.53,IN,1689448142
127,egilsstadir,65.2653,-14.3948,45.34,93,100,4.63,IS,1689448143
128,san clemente,33.427,-117.612,99.1,74,33,4.0,US,1689448143
129,thompson,55.7435,-97.8558,51.96,93,100,8.05,CA,1689448143
130,vadso,70.0744,29.7487,56.28,94,100,8.05,NO,1689448144
131,yuzhno-kurilsk,44.0306,145.8556,55.31,98,100,5.37,RU,1689448144
132,fuerte olimpo,-21.0415,-57.8738,75.94,27,99,2.86,PY,1689447998
133,balqash,46.8481,74.995,74.01,36,0,8.1,KZ,1689448145
134,fort mcmurray,56.7268,-111.381,65.71,63,100,4.61,CA,1689448145
135,obubra,6.0752,8.329,76.82,92,95,2.73,NG,1689448145
136,middelburg,-25.7751,29.4648,46.87,56,4,4.81,ZA,1689448146
137,sandnessjoen,66.0217,12.6316,63.12,77,17,15.61,NO,1689448146
138,klaksvik,62.2266,-6.589,54.52,89,100,26.46,FO,1689448147
139,volney,43.3428,-76.3577,87.96,69,40,0.0,US,1689448147
140,bluefields,12.0137,-83.7635,79.75,91,100,11.83,NI,1689448147
141,matoury,4.8483,-52.3317,87.76,62,92,12.66,GF,1689448148
142,argo,37.6333,22.7333,87.78,46,0,1.61,GR,1689448148
143,barysaw,54.2312,28.5049,68.29,58,100,5.17,BY,1689448148
144,lerwick,60.1545,-1.1494,60.8,93,73,9.64,GB,1689448149
145,san andres,12.5847,-81.7006,82.67,84,100,23.4,CO,1689448109
146,shenjiamen,29.9576,122.298,78.3,96,13,14.09,CN,1689448149
147,papao,-17.75,-149.55,80.28,69,8,10.0,PF,1689448150
148,cole harbour,44.6724,-63.4751,78.19,81,100,4.0,CA,1689448150
149,tocopilla,-22.092,-70.1979,69.21,67,28,7.09,CL,1689448151
150,onega,63.9061,38.1404,61.84,75,96,1.54,RU,1689448151
151,lockwood,45.8191,-108.4149,83.41,41,20,5.75,US,1689448151
152,new norfolk,-42.7826,147.0587,53.92,80,100,12.48,AU,1689448152
153,cabo san lucas,22.8909,-109.9124,99.61,69,20,11.5,MX,1689447928
154,shache,38.4167,77.2406,90.72,11,0,4.99,CN,1689448152
155,fort william,56.8165,-5.1121,62.31,82,100,2.55,GB,1689448153
156,sodo,6.8642,37.7628,58.55,80,98,3.67,ET,1689448153
157,bardai,11.65,7.2333,84.76,43,0,6.78,NG,1689448153
158,radhanpur,23.8333,71.6,85.17,67,100,17.05,IN,1689448154
159,ayorou,14.7308,0.9174,96.12,33,23,2.84,NE,1689448154
160,happy valley-goose bay,53.3168,-60.3315,81.12,46,96,8.25,CA,1689448154
161,bandarbeyla,9.4942,50.8122,76.05,81,0,31.27,SO,1689448155
162,ohara,35.25,140.3833,77.27,90,100,19.33,JP,1689448155
163,coahuayana de hidalgo,18.7,-103.6583,93.25,54,100,7.02,MX,1689448156
164,beloyarskiy,63.7119,66.6722,56.75,66,0,2.66,RU,1689448154
165,mount gambier,-37.8333,140.7667,48.27,80,74,5.37,AU,1689448156
166,arenapolis,-14.4503,-56.8461,96.01,19,0,2.98,BR,1689448156
167,mabaruma,8.2,-59.7833,85.62,69,99,5.5,GY,1689448157
168,caconda,-13.7333,15.0667,61.09,21,0,1.83,AO,1689448157
169,kodinsk,58.6881,99.1844,59.85,50,100,4.7,RU,1689448158
170,longboat key,27.4125,-82.659,95.07,61,0,9.22,US,1689448053
171,mogocha,53.7333,119.7667,55.81,74,16,2.15,RU,1689448158
172,haiku-pauwela,20.9219,-156.3051,80.62,59,40,18.41,US,1689448159
173,klyuchi,52.2667,79.1667,64.74,55,30,1.9,RU,1689448159
174,port mathurin,-19.6833,63.4167,74.14,81,20,16.78,MU,1689448159
175,khorugh,37.4897,71.553,70.65,41,87,4.97,TJ,1689448160
176,woodlake,37.4211,-77.6793,92.79,71,40,10.36,US,1689448160
177,nar'yan-mar,67.6713,53.087,62.31,65,10,2.95,RU,1689448160
178,petropavlovsk-kamchatsky,53.0452,158.6483,52.39,100,100,2.24,RU,1689448161
179,bartica,6.4,-58.6167,91.72,71,46,3.78,GY,1689448161
180,lautoka,-17.6167,177.4667,67.86,88,100,4.61,FJ,1689448161
